index,player,pos,tm,mp_per_game,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,ast,stl,blk,tov,pf,tspercent,x3par,ftr,orbpercent,drbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,obpm,dbpm,i
90,Larry Demic,PF,NYK,22.8,0.436,0.0,0.0,0.0,2.8,6.4,0.436,1.3,2.2,0.601,2.4,3.5,0.8,0.7,0.4,2.0,3.7,0.46799999999999997,0.0,0.34700000000000003,11.2,16.9,4.1,1.3,0.9,21.6,16.0,-1.4,1.3,-3.8,-0.9,1980
91,Coby Dietrick,C,CHI,23.2,0.45399999999999996,0.0,0.1,0.111,2.9,6.2,0.46,1.1,1.5,0.763,1.3,3.3,2.7,1.1,0.6,1.4,2.9,0.494,0.018000000000000002,0.23600000000000002,6.4,15.7,16.4,2.3,1.6,16.9,14.8,0.8,2.1,-1.2,1.8,1980
92,Leon Douglas,C,DET,25.5,0.486,0.0,0.0,0.0,3.2,6.5,0.48700000000000004,1.8,2.6,0.6759999999999999,2.4,4.7,1.7,0.4,0.9,1.8,3.6,0.529,0.002,0.40700000000000003,10.0,19.6,8.5,0.8,1.8,19.1,14.3,1.0,1.1,-1.7,0.1,1980
93,John Drew,SF,ATL,28.8,0.45299999999999996,0.0,0.1,0.0,6.7,14.7,0.455,6.1,8.1,0.757,2.5,3.4,1.3,1.1,0.3,3.0,3.9,0.532,0.006,0.547,9.4,12.5,7.4,1.9,0.6,14.1,30.2,3.3,3.1,0.7,-1.3,1980
94,Terry Duerod,SG,DET,19.9,0.47200000000000003,0.2,0.8,0.28300000000000003,4.0,8.1,0.49,0.7,1.0,0.682,0.4,1.0,1.7,0.6,0.2,1.2,1.5,0.498,0.08900000000000001,0.11,2.3,5.5,12.4,1.4,0.4,11.2,20.4,0.6,0.2,-1.5,-3.3,1980
95,Mike Dunleavy,PG,HOU,20.3,0.46399999999999997,0.1,0.4,0.15,2.8,5.9,0.485,2.2,2.6,0.828,0.5,1.5,4.1,0.8,0.1,2.2,2.4,0.542,0.063,0.42,2.7,8.1,26.7,1.8,0.2,22.5,18.6,0.9,0.5,-0.7,-1.9,1980
96,T.R. Dunn,SG,POR,22.5,0.436,0.0,0.0,0.0,2.9,6.7,0.43799999999999994,1.0,1.4,0.757,1.6,2.3,1.8,1.2,0.4,1.1,1.8,0.47,0.005,0.201,7.8,11.6,10.9,2.7,1.0,13.2,15.4,0.9,2.3,-1.1,1.5,1980
97,James Edwards,C,IND,28.2,0.512,0.0,0.0,0.0,6.4,12.6,0.512,2.8,4.1,0.6809999999999999,2.2,4.9,1.5,0.7,1.3,1.6,4.0,0.545,0.001,0.32799999999999996,7.8,18.4,8.0,1.1,2.4,10.0,22.0,4.4,2.4,0.2,-1.0,1980
100,Len Elmore,C,KCK,15.8,0.43,0.0,0.0,0.0,1.8,4.2,0.43,0.9,1.3,0.6890000000000001,1.3,3.2,1.1,0.7,0.7,1.2,2.7,0.47200000000000003,0.0,0.306,8.4,22.2,8.8,2.1,2.5,19.6,14.9,-0.3,1.8,-3.6,3.3,1980
101,Alex English*,SF,TOT,30.8,0.49700000000000005,0.0,0.1,0.33299999999999996,7.1,14.2,0.498,2.7,3.4,0.789,3.4,4.3,2.9,0.9,0.8,2.7,2.6,0.536,0.005,0.239,11.3,14.9,13.9,1.4,1.4,14.8,23.4,3.3,2.0,1.4,-0.5,1980
102,Alex English*,SF,IND,28.3,0.504,0.0,0.1,0.0,6.4,12.6,0.507,2.1,2.6,0.8140000000000001,3.1,3.9,2.6,0.8,0.6,2.3,2.4,0.539,0.004,0.204,11.0,14.9,13.5,1.4,1.2,14.2,22.2,2.4,1.3,1.3,-0.7,1980
103,Alex English*,SF,DEN,36.5,0.485,0.1,0.1,0.667,8.5,17.7,0.483,4.0,5.3,0.762,4.3,5.1,3.4,1.2,1.2,3.8,3.3,0.531,0.006999999999999999,0.295,11.9,15.0,14.7,1.5,1.8,15.7,25.6,0.9,0.7,1.6,0.0,1980
104,Julius Erving*,SF,PHI,36.1,0.519,0.1,0.3,0.2,10.7,20.4,0.523,5.4,6.8,0.787,2.8,4.6,4.6,2.2,1.8,3.6,2.7,0.568,0.012,0.331,8.6,12.9,21.4,2.8,2.7,13.3,30.3,7.3,5.2,5.0,2.2,1980
106,Mike Evans,SG,SAS,15.8,0.44799999999999995,0.2,0.5,0.28600000000000003,2.5,5.3,0.46399999999999997,0.7,1.1,0.682,0.4,1.0,2.9,0.8,0.1,1.6,2.5,0.485,0.091,0.183,2.5,6.6,22.8,2.1,0.4,20.3,19.1,-0.4,0.5,-2.2,-2.3,1980
108,Chris Ford,SG,BOS,29.0,0.465,1.0,2.2,0.42700000000000005,3.6,7.5,0.47700000000000004,1.2,1.6,0.754,1.1,1.4,2.9,1.5,0.4,1.4,2.4,0.537,0.231,0.161,4.1,5.4,13.5,2.5,0.7,12.2,16.2,2.9,2.6,1.4,0.8,1980
111,Don Ford,SF,CLE,20.0,0.451,0.0,0.1,0.5,3.0,6.8,0.451,1.0,1.2,0.88,1.0,3.1,1.4,0.5,0.3,1.0,2.1,0.494,0.013999999999999999,0.174,5.1,17.4,8.6,1.2,0.8,11.9,16.1,0.2,0.4,-2.0,0.0,1980
112,Phil Ford,PG,KCK,32.0,0.462,0.0,0.3,0.174,5.9,12.6,0.469,4.2,5.2,0.818,0.4,1.7,7.4,1.7,0.0,3.4,2.5,0.534,0.022000000000000002,0.4,1.1,6.1,32.4,2.4,0.1,18.5,23.3,2.7,3.4,0.6,-1.0,1980
114,World B. Free,SG,SDC,38.0,0.474,0.1,0.4,0.36,10.7,22.5,0.47600000000000003,8.4,11.2,0.753,1.9,1.6,4.2,1.2,0.5,3.4,2.9,0.544,0.016,0.488,5.2,4.7,18.0,1.5,0.7,10.8,32.7,7.7,0.3,4.3,-3.3,1980
115,Terry Furlow,SG,TOT,27.9,0.46399999999999997,0.3,1.1,0.293,5.3,11.1,0.48100000000000004,2.3,2.6,0.872,0.9,1.6,3.9,1.0,0.3,2.1,1.3,0.521,0.08900000000000001,0.212,3.9,6.5,21.4,1.7,0.6,13.9,23.6,2.2,0.6,0.8,-2.4,1980
116,Terry Furlow,SG,ATL,19.2,0.41,0.0,0.4,0.111,3.1,7.2,0.428,2.1,2.4,0.863,1.1,0.9,3.4,0.9,0.4,1.6,0.9,0.48200000000000004,0.055999999999999994,0.317,6.1,5.1,27.0,2.3,1.3,15.6,22.0,0.4,0.5,0.6,-0.3,1980
117,Terry Furlow,SG,UTA,31.2,0.47600000000000003,0.4,1.3,0.315,6.2,12.6,0.493,2.3,2.6,0.8759999999999999,0.9,1.9,4.0,1.0,0.3,2.3,1.4,0.53,0.095,0.19,3.3,6.9,20.0,1.5,0.5,13.5,24.0,1.9,0.2,0.8,-3.0,1980
118,Mike Gale,PG,SAS,22.0,0.45399999999999996,0.0,0.2,0.154,2.5,5.4,0.46399999999999997,1.4,1.8,0.8079999999999999,0.5,1.8,4.7,1.8,0.2,1.7,2.0,0.513,0.034,0.318,2.5,8.4,24.6,3.7,0.5,21.1,14.0,1.0,1.2,-0.6,0.3,1980
121,George Gervin*,SG,SAS,37.6,0.528,0.4,1.3,0.314,12.7,23.6,0.54,6.5,7.6,0.852,2.0,3.2,2.6,1.4,1.0,3.3,2.7,0.5870000000000001,0.053,0.306,5.7,8.9,11.0,1.6,1.4,10.3,31.7,9.3,1.3,4.9,-2.7,1980
122,John Gianelli,C,UTA,16.8,0.348,0.0,0.0,0.0,1.4,3.9,0.348,0.5,0.9,0.563,0.8,2.8,1.0,0.4,0.4,1.3,1.5,0.377,0.0,0.242,6.0,19.0,7.7,1.0,1.4,23.1,14.3,-0.6,0.1,-6.7,-0.5,1980
123,Artis Gilmore*,C,CHI,32.7,0.595,0.0,0.0,0.0,6.4,10.7,0.595,5.1,7.2,0.7120000000000001,2.3,6.8,2.8,0.6,1.2,2.8,3.5,0.643,0.0,0.6709999999999999,7.9,22.7,13.0,0.9,2.1,16.7,20.7,4.0,1.7,2.2,0.8,1980
